SNF2.1	SNF2.10	SNF2.11	SNF2.12	SNF2.13	SNF2.14	SNF2.15	SNF2.16	SNF2.17	SNF2.18	SNF2.19	SNF2.2	SNF2.20	SNF2.21	SNF2.22	SNF2.23	SNF2.24	SNF2.25	SNF2.26	SNF2.27	SNF2.28	SNF2.29	SNF2.3	SNF2.30	SNF2.31	SNF2.32	SNF2.33	SNF2.34	SNF2.35	SNF2.36	SNF2.37	SNF2.38	SNF2.39	SNF2.4	SNF2.40	SNF2.41	SNF2.42	SNF2.43	SNF2.44	SNF2.45	SNF2.46	SNF2.47	SNF2.48	SNF2.5	SNF2.6	SNF2.7	SNF2.8	SNF2.9	WT.1	WT.10	WT.11	WT.12	WT.13	WT.14	WT.15	WT.16	WT.17	WT.18	WT.19	WT.2	WT.20	WT.21	WT.22	WT.23	WT.24	WT.25	WT.26	WT.27	WT.28	WT.29	WT.3	WT.30	WT.31	WT.32	WT.33	WT.34	WT.35	WT.36	WT.37	WT.38	WT.39	WT.4	WT.40	WT.41	WT.42	WT.43	WT.44	WT.45	WT.46	WT.47	WT.48	WT.5	WT.6	WT.7	WT.8	WT.9
YKL209C	778	752	790	523	863	756	527	717	702	716	486	687	692	854	511	676	1090	478	701	561	572	620	699	587	403	816	896	692	542	582	631	645	1149	908	660	654	537	676	690	650	825	718	524	495	934	976	582	866	265	684	327	667	691	494	395	368	370	552	401	718	270	652	1112	669	611	985	614	781	931	603	416	538	711	274	711	293	548	388	445	285	420	498	580	833	494	270	336	893	375	952	320	607	1252	628	543	483
YKL210W	2399	2147	2180	1667	2214	2524	1429	1971	2183	2063	1582	2046	1948	2497	1588	1966	3583	1203	1986	1581	1626	1743	2196	1637	1199	2119	2641	1913	1518	1712	1876	1785	3565	2698	1788	1787	1548	1799	1820	1680	2423	1830	1614	1395	2940	2988	1490	2407	1150	1607	930	1279	1784	1854	1399	822	1441	1673	1487	1438	1034	1914	2060	1432	1412	1661	1831	1756	1769	1329	1190	2537	1794	1045	1597	945	1353	812	1514	1134	1236	1806	2459	1785	1418	1274	1225	1939	1012	2142	1406	1322	2767	1721	1724	1462
YKL211C	1063	859	950	721	638	1013	814	910	1066	843	816	897	892	885	717	710	1436	726	990	632	677	769	915	708	733	974	1098	939	679	821	711	841	1550	1042	766	938	659	916	851	763	861	853	759	703	500	1136	841	1027	467	464	402	488	571	841	628	373	575	516	627	472	505	368	637	500	540	499	617	610	527	490	464	946	568	496	631	439	456	405	667	501	540	739	836	633	505	527	546	784	389	713	535	469	908	656	654	555
YKL212W	1201	969	1166	804	1052	1132	925	1129	1152	1001	762	1042	1000	1197	894	920	1643	884	1103	879	845	853	1023	855	768	1115	1351	997	791	980	945	979	1782	1202	926	1086	863	1025	1011	1006	1185	968	840	824	1278	1416	916	1305	771	972	750	929	1259	1158	962	643	1046	1025	1123	976	769	1234	1556	1004	1019	1194	1114	1226	1224	1035	733	1482	1207	718	1135	575	861	645	1168	826	905	1189	1449	1240	884	783	949	1522	624	1431	952	916	1829	1145	1172	997
YKL213C	897	703	969	636	852	841	675	871	925	773	581	821	824	929	727	712	1206	747	875	632	731	728	775	667	591	918	990	742	756	711	701	808	1365	1010	759	884	612	835	795	762	892	719	711	668	1059	1128	707	968	440	605	506	544	718	748	616	357	661	622	697	596	469	762	910	568	552	803	677	776	812	543	458	925	682	485	668	558	508	515	641	468	553	784	884	723	503	554	569	799	409	899	616	565	1092	660	658	619
YKL214C	305	173	275	207	245	235	199	298	296	215	210	234	224	228	242	231	336	153	302	180	205	239	214	209	170	308	283	255	192	216	261	216	379	324	229	219	185	264	301	261	266	292	254	181	172	386	201	331	109	163	115	164	175	270	162	122	175	161	163	197	132	131	308	146	210	241	189	191	233	203	165	234	128	146	180	218	144	212	184	120	126	230	278	203	180	190	101	172	112	214	180	191	339	148	155	180
YKL215C	434	328	409	288	573	438	234	374	381	369	330	376	384	390	290	340	521	247	408	287	282	291	360	306	282	426	497	388	327	312	370	315	703	473	355	433	278	331	415	316	382	389	294	275	832	617	267	405	190	310	178	230	307	346	236	146	272	287	303	243	182	404	407	275	239	462	327	308	432	234	235	443	259	187	272	134	260	150	271	177	190	334	439	320	249	227	234	345	155	388	265	230	535	275	304	220
YKL216W	2666	3109	3167	2253	1701	2698	2225	2672	3130	2584	1729	2778	2251	3637	2320	3100	5109	1592	2260	2361	2315	2340	2784	2140	1746	2958	3630	2743	2159	2532	2536	2701	4356	3031	2344	2202	2115	2850	2244	2581	3172	2453	2640	2058	2129	3369	2175	3737	1943	3220	1776	2902	3535	3399	2895	1913	2773	3102	3106	3066	2080	2120	3887	3089	2835	2797	3120	3728	2970	2771	2157	4652	3432	2067	3430	3014	2644	2831	2788	2023	2650	3755	4222	3980	2478	2542	2410	4174	1922	4394	2809	2918	5676	3636	3015	2896
YKL217W	378	144	260	223	307	328	238	282	291	276	204	236	297	201	157	203	272	274	337	116	201	248	245	211	196	257	329	241	177	187	220	188	456	349	247	345	184	253	292	184	193	237	181	203	292	442	236	220	89	132	101	118	119	184	133	62	137	158	174	103	91	209	202	85	100	218	134	116	158	112	112	221	111	119	116	95	77	75	177	132	100	148	200	110	108	115	143	141	78	149	138	91	204	96	153	119
YKL218C	364	220	326	267	230	308	301	299	351	274	230	331	287	286	230	259	490	308	359	236	277	310	313	214	253	399	328	225	248	311	227	313	524	324	259	357	250	324	315	281	304	290	245	275	186	421	280	331	297	163	185	158	194	532	331	96	426	174	376	175	293	180	233	159	163	156	233	193	165	152	149	943	166	366	166	256	127	144	242	364	184	513	478	153	171	607	382	205	129	234	384	129	281	182	249	222
YKL219W	226	192	201	159	118	229	98	183	228	163	152	203	165	230	160	214	352	75	196	114	132	212	202	150	78	226	244	205	142	145	173	139	291	253	176	158	130	226	208	196	217	184	213	140	80	302	121	231	88	120	69	105	143	245	138	65	165	135	145	138	105	99	184	127	125	140	130	153	109	122	138	246	124	86	113	135	119	127	89	85	113	199	213	184	105	159	60	132	99	185	145	110	291	134	120	137
YKL220C	185	124	113	106	74	154	91	154	147	144	109	106	133	162	88	115	229	104	152	103	99	128	140	103	102	147	206	127	78	103	140	118	202	179	124	142	92	146	175	124	145	150	91	105	57	232	109	135	60	143	75	100	129	140	96	72	105	121	118	120	76	59	154	116	131	92	116	143	92	100	118	134	126	73	107	128	112	108	106	76	86	116	152	166	106	89	99	148	75	137	113	106	216	101	125	88
YKL221W	62	32	37	29	73	40	44	47	51	42	25	38	41	42	41	40	54	34	46	32	32	36	37	28	36	50	52	37	49	40	33	25	71	65	33	65	33	42	40	31	35	51	28	35	116	81	25	38	16	17	8	10	15	20	11	5	22	15	12	13	14	15	32	8	10	32	11	15	29	18	12	18	12	11	15	4	7	5	18	13	11	21	17	12	5	16	9	14	7	13	13	10	16	10	13	10
YKL222C	187	100	111	123	257	171	87	171	138	131	145	97	103	143	113	145	176	55	141	76	130	128	122	109	71	147	221	138	113	89	145	93	232	176	127	131	105	128	160	105	126	154	128	101	293	230	86	137	45	114	49	74	113	125	78	52	121	100	79	109	55	223	210	93	129	200	110	127	190	93	81	148	104	45	102	48	123	54	54	54	62	105	131	134	97	105	50	134	57	138	90	92	200	90	80	80
YKL224C	19	1	6	9	2	4	12	6	12	13	10	9	16	7	5	3	13	11	12	1	8	3	7	10	9	8	12	9	0	16	13	7	21	9	3	15	11	12	11	12	5	7	8	4	1	15	11	6	7	3	7	2	2	5	3	3	3	0	1	3	5	0	3	2	1	1	2	1	0	3	3	3	2	1	5	5	2	0	9	2	3	2	9	2	3	4	5	7	3	3	6	2	5	2	12	4
YKR001C	1549	1435	1481	1180	1741	1557	978	1275	1517	1406	1035	1384	1251	1620	1031	1305	2392	919	1431	1128	1065	1285	1466	1101	886	1429	1828	1439	1129	1175	1355	1308	2402	1903	1302	1285	1127	1374	1384	1221	1551	1310	1116	980	1970	2083	984	1626	743	1046	666	939	1210	1307	903	508	964	1092	938	975	717	1500	1472	989	904	1392	1251	1160	1277	898	815	1671	1073	759	974	879	916	754	887	715	849	1228	1562	1214	924	880	756	1266	697	1473	970	895	1844	1021	1042	864
YKR002W	711	562	588	494	594	763	421	678	580	609	455	535	597	641	402	502	901	456	632	454	472	565	544	521	409	628	863	650	488	453	665	500	1089	767	619	589	472	593	653	518	687	613	514	417	553	994	465	635	245	405	244	379	484	447	331	203	379	408	348	369	234	399	655	391	369	481	392	504	462	372	326	538	443	264	394	305	334	350	374	216	286	427	531	475	353	276	277	511	249	599	329	345	847	387	356	305
YKR003W	537	352	415	397	567	502	297	402	435	430	347	351	388	413	275	363	640	257	464	268	296	354	380	291	264	482	503	437	348	280	386	344	697	544	410	407	324	397	443	311	419	476	345	337	640	687	330	414	258	291	215	265	379	519	322	166	437	340	353	303	246	594	512	274	290	415	328	303	431	234	313	606	305	269	281	361	262	266	252	248	255	416	547	324	293	322	239	389	221	393	340	239	538	270	315	287
YKR004C	130	57	75	86	80	91	40	92	92	91	72	66	67	79	65	96	103	40	107	52	71	104	60	58	55	90	134	69	60	42	93	46	143	126	73	55	53	97	105	60	73	96	74	64	82	133	72	74	37	64	27	52	75	103	47	35	57	57	59	82	32	85	92	46	100	104	62	64	72	60	54	87	66	50	73	69	57	53	37	33	39	93	90	69	62	54	26	85	52	88	67	79	150	69	40	55
YKR005C	47	36	31	26	36	42	33	40	38	30	26	38	25	35	35	30	54	20	32	24	28	25	30	23	29	35	68	36	36	38	32	25	68	39	28	30	22	33	44	28	36	39	32	29	40	41	36	40	19	31	24	48	50	28	24	24	29	22	24	55	18	17	78	31	49	51	34	60	47	49	28	26	55	10	43	39	42	33	22	16	27	32	25	46	32	32	32	50	26	53	18	46	93	38	31	32
YKR006C	339	211	272	230	372	308	218	347	319	270	242	257	277	273	206	224	381	176	331	181	189	261	272	260	180	311	364	302	269	216	267	201	442	362	283	261	208	327	312	239	294	304	240	229	422	385	233	293	166	259	193	241	298	374	211	150	321	212	231	272	177	359	487	220	258	346	296	280	360	265	236	376	251	197	246	284	188	238	221	166	198	299	332	291	220	231	165	335	173	348	244	234	401	223	251	240
YKR007W	586	405	518	426	626	535	441	497	503	458	385	435	551	445	395	346	621	679	580	324	422	430	386	361	534	552	632	440	371	516	427	395	835	590	446	733	373	541	500	376	430	498	406	376	1123	732	424	462	298	348	413	276	334	450	309	295	308	314	472	327	307	561	489	308	290	620	399	392	594	331	275	459	351	277	364	400	224	350	459	324	284	452	504	346	288	275	380	517	261	509	328	288	543	312	469	508
YKR008W	526	288	332	313	717	474	227	470	363	384	266	296	307	386	294	328	465	229	495	287	290	379	291	329	229	403	541	355	321	239	368	257	671	506	332	354	260	363	460	315	421	433	332	266	1140	570	317	366	149	346	167	245	410	360	226	174	299	298	259	331	194	696	663	328	341	614	328	404	599	261	258	420	330	173	327	228	267	239	173	141	179	361	410	355	308	249	161	369	198	458	251	315	611	284	252	273
YKR009C	360	176	265	217	417	286	234	269	291	249	209	263	269	250	193	235	328	253	354	164	228	277	221	167	204	333	359	250	249	220	226	203	407	308	235	310	204	243	293	225	256	270	238	202	513	395	287	268	141	168	162	161	195	292	152	100	261	181	241	179	167	364	342	164	174	352	255	209	302	158	160	287	155	148	202	191	158	166	193	162	132	275	311	188	171	186	153	252	164	221	254	168	314	182	219	222
YKR010C	258	174	194	150	212	263	111	242	183	208	153	195	173	208	141	186	310	131	222	149	153	189	208	174	139	205	291	205	142	146	187	156	397	242	209	206	139	220	227	151	201	228	172	163	245	312	154	233	74	141	83	167	166	126	123	87	98	136	105	156	88	159	258	155	176	194	141	181	202	171	116	191	183	90	171	84	128	121	101	58	86	107	187	172	130	75	75	205	71	211	98	144	351	108	100	124
YKR011C	524	354	334	318	618	460	213	428	460	397	360	346	303	408	302	403	637	178	446	301	304	414	405	338	201	440	594	356	381	250	404	285	721	574	374	345	281	433	498	344	421	499	370	306	866	651	265	414	148	244	152	141	332	416	239	120	363	298	253	251	215	574	472	221	245	375	271	249	383	251	285	433	248	240	218	200	232	176	186	183	161	412	485	306	288	329	114	226	219	329	291	203	438	218	199	203
YKR013W	2345	1495	2431	1545	2037	2004	2272	2556	2645	1927	1788	1978	2344	2033	1609	1605	2660	2559	2343	1675	1933	1625	1830	1695	2396	2180	2775	2204	1709	2453	1830	2193	3914	2366	2023	2715	1721	2369	2131	1951	1908	2073	1724	1532	5060	2881	2241	2346	1040	944	1146	1120	1222	1402	1208	823	1235	962	1631	1014	1086	1844	1589	986	1153	1645	1368	1240	1410	1252	839	1658	1133	1006	1220	805	905	765	2133	1270	1148	1535	1703	1232	1050	902	1551	1779	784	1646	1275	1106	1948	1249	1588	1223
YKR014C	1195	882	1078	866	1210	1174	787	984	1122	1005	840	977	1018	998	697	942	1538	888	1176	674	800	936	1008	829	761	1030	1410	1059	808	825	954	845	1842	1345	1024	1082	756	993	1045	882	971	1045	869	786	2567	1604	804	1061	562	644	576	647	771	943	699	401	756	704	769	676	540	851	1105	581	600	1002	816	834	980	634	621	1126	656	625	716	682	554	517	624	568	525	913	1074	762	629	691	650	820	472	945	683	686	1211	645	832	633
YKR015C	143	77	109	97	168	114	84	119	122	118	81	100	88	108	71	111	134	51	129	72	105	133	133	83	69	133	116	87	101	68	98	85	149	147	97	120	92	150	138	91	108	123	109	103	321	162	77	120	36	103	53	65	117	158	69	58	121	108	95	120	68	240	232	102	93	187	92	111	195	84	76	151	92	65	85	60	101	75	50	45	54	151	178	124	88	94	50	119	58	122	90	104	198	82	77	71
YKR016W	721	444	450	464	525	644	300	539	533	576	413	511	515	542	374	522	895	350	619	364	407	491	549	478	313	573	847	540	390	361	531	441	998	809	535	506	392	523	575	401	547	565	448	401	359	919	397	619	262	411	235	365	497	556	328	207	481	409	405	373	301	393	628	386	362	431	481	434	491	362	381	751	407	325	374	400	373	332	359	285	274	491	659	477	459	406	302	470	274	578	394	360	768	445	397	340
YKR017C	393	207	232	226	483	344	219	299	295	294	219	255	254	280	208	229	348	224	334	192	225	294	234	202	225	295	376	248	209	207	287	199	461	365	274	285	179	285	376	215	271	350	217	201	654	441	265	262	112	204	130	134	219	215	158	110	182	200	186	245	131	339	380	180	186	311	177	265	347	188	158	202	189	119	223	210	169	188	161	120	147	237	252	212	156	153	120	247	136	275	172	207	362	158	182	187
YKR018C	1624	1336	1432	1129	1282	1633	1043	1340	1445	1329	1044	1440	1412	1562	1051	1337	2330	1123	1584	1046	1161	1381	1497	1087	956	1564	1893	1323	1182	1240	1309	1230	2445	1765	1285	1424	1142	1474	1455	1226	1573	1400	1211	1011	1167	2149	1163	1562	754	1002	684	860	1124	1330	875	531	1120	959	1076	885	733	972	1436	981	854	963	1099	1020	1103	845	836	1664	998	738	960	819	844	655	980	738	786	1176	1533	1060	925	852	803	1260	648	1328	1003	836	1769	1044	1117	917
YKR019C	226	198	276	168	272	251	234	257	247	202	149	211	251	245	188	167	284	245	243	188	190	211	212	192	181	226	290	198	215	205	209	257	341	241	178	280	165	240	244	197	224	223	178	181	453	323	189	258	139	186	150	214	188	173	125	116	185	147	189	168	122	260	269	166	175	269	200	215	271	189	114	237	179	113	183	139	151	157	207	144	138	217	239	231	134	160	134	243	108	270	188	184	316	178	160	180
YKR020W	288	212	235	208	282	232	183	218	334	237	199	223	201	263	213	244	340	149	278	175	226	282	202	202	120	320	314	204	232	191	216	200	378	341	236	248	183	284	291	241	244	274	221	215	286	410	182	274	104	159	93	112	186	240	132	86	161	173	180	158	100	204	242	129	133	222	150	173	212	123	138	298	153	109	178	181	115	149	128	127	97	229	243	154	131	198	90	147	124	173	154	140	270	128	119	152
YKR021W	477	236	358	269	489	435	322	414	365	389	323	357	405	349	288	289	508	348	474	287	351	349	331	315	284	406	502	345	272	278	387	321	652	436	365	466	263	377	430	343	363	392	283	270	654	639	346	416	214	277	199	267	321	381	253	163	334	304	355	276	227	477	462	270	239	402	306	338	401	295	225	436	300	191	290	157	246	164	282	198	232	377	383	295	214	231	238	418	202	380	256	295	549	297	278	285
YKR022C	412	318	335	292	375	374	235	325	364	310	291	320	316	380	244	293	501	259	392	252	315	296	336	297	250	362	475	312	265	256	353	289	607	490	339	391	263	340	397	300	329	396	314	259	348	495	291	358	138	232	170	188	255	323	182	117	239	187	241	211	178	206	355	209	232	298	267	270	301	196	198	341	200	185	219	321	181	251	187	172	186	319	319	251	184	214	161	262	154	297	198	244	388	222	227	199
YKR023W	410	302	367	303	440	357	246	377	358	294	282	310	341	418	267	323	514	240	386	261	315	310	351	277	264	376	528	423	381	277	385	294	663	471	372	372	254	397	374	300	359	367	353	237	931	561	235	389	130	253	162	237	292	299	203	128	245	193	221	240	158	430	440	228	262	435	243	277	383	225	201	393	238	161	253	212	248	191	172	173	182	285	349	305	222	158	172	284	164	356	219	265	533	234	221	215
YKR024C	54	62	56	38	53	78	29	96	47	44	54	40	53	77	50	54	90	31	49	56	52	39	54	67	48	50	102	94	42	49	87	50	87	63	52	62	39	55	55	58	73	92	44	41	74	95	46	75	47	139	46	155	150	82	55	130	64	97	89	149	53	62	223	165	205	202	73	180	192	189	84	145	182	46	185	71	116	122	82	45	117	71	93	195	76	45	61	263	55	209	71	163	331	135	71	90
YKR025W	472	397	492	373	424	450	385	477	466	428	346	422	482	470	314	321	626	437	493	329	369	378	391	364	421	439	564	492	364	431	414	432	735	550	409	536	327	489	407	423	433	472	400	311	429	618	395	487	197	393	346	420	442	343	312	282	332	345	362	423	202	387	570	376	427	524	396	498	456	495	283	363	426	252	518	453	277	469	427	262	329	441	423	505	360	204	291	603	204	636	315	453	732	360	444	420
YKR026C	493	390	411	332	469	393	329	441	459	431	313	388	374	491	309	379	607	400	449	335	357	370	343	318	396	482	575	397	382	427	384	325	740	471	335	463	319	454	440	357	443	436	391	332	806	552	371	459	307	461	361	386	499	479	353	334	378	382	413	418	297	534	725	446	462	720	410	531	656	447	338	552	491	257	535	443	376	516	471	287	387	500	604	527	344	291	372	663	273	674	351	446	878	471	480	520
YKR027W	286	206	247	189	277	264	182	280	254	240	180	230	230	217	168	202	326	200	271	164	174	234	237	202	153	280	313	220	200	185	240	178	401	292	218	256	187	246	250	204	262	244	186	172	224	358	175	226	123	218	146	204	238	287	156	131	193	227	189	224	128	232	368	221	234	280	211	267	279	220	187	277	229	145	264	170	207	175	203	116	155	207	303	243	194	150	159	307	130	307	211	235	484	208	242	187
YKR028W	1066	856	839	717	1024	1112	693	1038	890	861	769	785	865	1004	611	771	1357	756	1014	704	678	783	935	755	698	914	1296	974	824	692	884	747	1556	1078	783	839	666	884	958	740	893	940	691	639	1265	1454	739	968	555	823	528	802	908	835	611	425	727	734	723	807	513	876	1355	813	776	1075	838	949	1127	827	614	1033	877	511	894	684	765	668	668	493	695	782	1024	943	646	544	531	1134	463	1049	668	788	1651	747	752	680
YKR029C	334	193	239	215	427	306	135	258	252	252	177	218	227	276	210	258	370	133	300	203	192	302	239	249	146	293	392	241	268	148	283	184	474	342	254	256	191	246	283	224	294	269	220	193	391	449	188	279	103	192	81	137	223	242	148	74	207	169	152	186	119	311	409	206	184	317	176	218	346	165	144	285	200	92	152	104	171	121	107	99	113	225	269	224	162	148	104	197	105	250	159	172	378	172	137	146
YKR030W	351	205	218	186	621	336	160	335	290	295	204	184	207	302	215	282	366	174	317	197	225	296	239	169	170	329	416	184	349	186	301	191	368	265	176	264	209	227	315	265	280	333	245	197	591	498	222	223	90	216	122	129	235	249	133	103	263	228	188	232	125	511	472	199	178	469	155	216	421	179	210	298	201	134	219	126	199	122	134	108	95	235	223	159	149	168	117	209	139	206	167	201	332	141	154	187
YKR031C	658	596	541	500	657	778	297	541	529	591	415	546	563	704	358	625	996	304	593	399	393	495	564	488	303	544	914	611	422	401	592	424	1030	802	602	507	435	484	588	373	621	610	469	357	672	973	367	648	294	511	230	392	531	472	337	225	407	476	316	363	227	455	643	461	389	530	492	524	498	328	332	719	463	249	338	294	443	225	351	198	311	432	651	559	432	290	248	527	259	589	339	357	934	401	401	302
YKR034W	1	2	2	4	5	1	3	3	7	3	7	3	5	2	5	3	2	3	2	1	4	4	2	6	3	6	5	3	7	2	3	4	3	5	2	4	2	5	2	3	5	4	1	5	7	4	4	5	2	1	3	2	2	5	0	1	7	1	6	3	1	6	6	4	2	10	3	1	9	3	6	6	3	3	5	1	1	1	5	2	3	5	2	2	1	3	5	4	0	1	0	2	3	2	5	1
YKR035W-A	1177	714	1089	854	637	1001	1154	1142	1117	962	838	965	1184	879	721	730	1285	1719	1389	624	923	909	919	750	1216	1102	1354	993	804	1104	902	900	1781	1225	985	1445	768	1176	1031	875	803	1063	800	835	552	1424	1043	918	644	644	980	790	768	1057	820	552	820	721	1065	740	708	481	1012	617	631	713	988	841	743	773	643	1137	673	803	878	994	555	853	1037	925	739	1089	1174	792	691	671	1126	1048	446	1215	882	749	1263	710	1093	888
YKR036C	298	306	359	269	416	345	262	333	345	274	244	291	333	322	250	248	508	297	325	275	261	266	258	275	256	305	436	289	258	295	280	336	532	331	291	337	260	334	290	306	308	277	236	240	644	417	283	342	148	237	183	223	276	227	182	130	200	206	224	199	139	331	353	227	244	382	245	286	355	205	173	305	256	162	250	178	192	213	274	174	206	261	290	326	217	146	197	334	139	358	186	249	435	225	270	207
YKR037C	183	86	126	99	209	133	98	131	153	116	101	125	106	126	95	108	182	90	146	85	85	106	118	94	85	138	165	141	113	111	138	81	191	173	97	160	96	130	141	103	119	135	116	97	193	193	105	120	40	87	77	84	72	111	63	46	95	71	87	92	76	124	149	73	66	154	79	96	118	82	82	108	79	66	100	100	70	84	79	68	55	106	131	80	75	58	63	97	51	102	72	93	160	81	90	97
YKR038C	666	447	536	472	699	527	471	571	639	476	467	468	560	524	437	463	773	565	624	395	474	510	450	450	498	629	716	510	468	502	489	444	860	624	472	655	358	587	592	533	464	609	479	445	799	740	510	568	225	416	335	391	432	484	361	274	372	344	457	426	302	553	733	420	411	625	423	487	590	433	355	504	422	243	510	442	351	368	458	328	330	505	494	453	339	301	303	544	279	605	383	429	738	389	444	422
YKR039W	1147	739	852	836	465	1191	646	891	945	1009	785	849	1039	912	536	760	1239	822	1075	525	606	713	841	774	779	791	1261	984	482	759	826	670	1673	1234	886	1038	621	721	922	588	800	897	566	592	318	1562	773	887	216	178	131	138	149	316	199	81	160	176	217	146	150	82	154	153	159	103	217	169	106	135	172	687	132	172	128	162	142	140	234	215	127	225	350	162	155	228	185	224	139	215	167	131	268	146	225	139
YKR041W	76	58	83	58	68	72	75	92	69	74	52	64	70	71	50	52	103	65	65	45	70	45	55	58	76	75	70	71	53	50	76	66	110	77	63	93	57	61	76	53	44	52	51	39	53	88	82	88	13	33	16	30	34	18	20	19	32	26	28	23	17	17	48	23	32	34	19	26	29	33	27	28	34	14	57	9	20	10	39	13	33	21	25	32	28	12	17	36	20	36	25	29	42	26	24	35
YKR042W	12394	8038	11814	7356	6042	10308	12808	11951	11862	9528	9210	10090	12183	10201	7616	7273	13966	15202	12321	7767	10184	8356	10205	8252	12817	11118	13699	10311	7284	12428	9436	10022	18345	11834	10095	14684	8520	11382	10446	9140	9304	10485	7770	8345	5955	14404	11393	10030	6072	7297	9265	8453	8403	7806	6610	6581	6622	7097	9475	7877	6191	3723	9833	7299	8341	8271	9065	9202	7882	9747	5665	7828	8125	5561	10392	5352	6563	6298	14817	7459	7874	9400	10149	9484	6387	4730	10272	14006	5170	12774	7594	8634	14175	8566	11818	9159
YKR043C	1564	1529	1736	1324	1449	1633	1553	1363	1720	1442	1217	1532	1641	1545	1210	1216	2451	1713	1582	1189	1383	1102	1502	1225	1592	1589	2137	1482	1041	1877	1332	1449	2833	1660	1268	1746	1233	1594	1236	1314	1403	1464	1266	1177	3480	2030	1510	1631	1030	1423	1138	1371	1519	1309	1192	1007	991	1179	1583	1267	979	1621	1785	1257	1241	1828	1528	1636	1823	1297	832	1767	1602	870	1759	1180	1060	1409	1817	1197	1310	1456	1812	1617	1068	802	1590	2141	802	2250	1150	1314	2447	1521	1867	1697
YKR044W	431	262	381	306	395	419	321	466	388	376	277	328	409	379	242	294	469	370	433	293	339	254	303	286	406	361	490	345	293	353	329	333	579	427	351	475	281	388	396	298	339	401	280	255	648	476	397	405	165	258	192	301	339	270	197	183	233	247	298	269	197	303	431	222	281	416	271	350	370	300	200	283	279	176	316	197	240	264	329	208	236	310	343	370	210	165	236	442	149	415	257	270	536	325	309	263
YKR045C	101	78	109	81	140	97	96	90	126	113	77	106	128	72	75	82	141	127	145	88	100	70	91	100	117	107	139	96	89	124	113	90	193	114	118	165	93	122	83	106	95	114	61	70	205	134	97	102	93	96	78	104	112	70	82	69	73	81	112	84	58	109	151	96	89	182	96	117	157	92	49	88	93	58	90	52	70	72	120	74	75	77	122	113	69	46	97	158	40	141	71	93	153	102	131	114
YKR046C	1256	800	962	853	916	1038	848	1085	1173	952	892	1068	1074	885	661	801	1484	972	1306	692	911	872	943	785	864	1036	1284	938	807	950	920	841	1825	1264	951	1349	739	1173	1141	757	863	1034	744	765	682	1496	880	1047	487	617	512	591	764	848	582	389	736	605	759	619	564	395	917	586	649	599	749	684	677	690	564	746	607	518	775	679	511	523	1054	667	549	879	987	689	564	570	635	998	337	933	670	547	1128	739	909	600
YKR048C	2033	2489	2142	1819	1078	2572	1846	1718	2230	2212	1520	2318	2308	2697	1388	1567	3787	2128	2212	1664	1716	1539	2559	1509	1719	1863	2924	2095	1083	2516	1848	1902	3719	2657	1793	2448	1663	2109	1805	1594	2078	1700	1538	1507	930	3431	1748	1932	1398	1555	1165	1333	1701	1511	1329	876	1009	1405	1646	1101	1117	748	1333	1414	1229	1069	1584	1886	1057	1285	977	2271	1807	950	1544	1628	1230	1640	2170	1326	1305	1528	2308	1657	1270	920	1558	2142	887	2328	1243	1188	2723	1638	2070	1631
YKR049C	488	288	498	391	406	393	571	417	566	345	345	464	509	271	293	251	492	646	669	260	396	445	371	347	502	495	424	344	331	463	313	434	671	516	387	752	315	523	510	385	301	407	306	400	496	568	504	411	241	167	359	231	188	366	289	173	307	186	385	188	285	306	275	190	174	237	331	211	277	227	240	363	172	328	285	312	150	238	524	397	204	411	434	235	249	310	356	280	224	332	295	207	317	218	421	286
YKR050W	489	360	470	330	359	472	352	417	453	421	338	474	491	413	256	282	576	458	527	262	329	355	387	358	411	410	531	382	303	376	356	380	721	554	419	505	365	402	406	330	373	373	270	316	389	682	400	362	273	308	287	285	361	404	301	184	292	318	352	281	237	315	402	257	269	326	392	364	336	303	227	469	310	226	323	224	264	209	502	299	274	402	496	393	292	238	349	450	224	473	298	295	599	304	449	287
YKR051W	535	332	444	413	430	488	317	439	472	436	347	409	373	426	313	376	654	371	517	285	373	381	376	326	336	412	584	381	321	385	413	293	752	525	393	528	315	439	482	375	442	463	391	308	466	629	383	373	170	290	185	226	339	380	258	148	329	313	275	291	225	336	443	273	297	351	330	308	357	268	281	414	252	192	268	330	228	263	247	209	186	383	433	293	228	244	187	351	181	358	279	274	527	262	262	252
YKR052C	380	245	387	258	315	349	304	364	413	302	231	322	375	302	230	248	422	301	362	195	317	317	276	285	259	337	392	272	208	280	274	306	465	419	290	403	207	292	334	276	316	292	234	246	429	400	355	390	183	294	220	293	303	353	277	203	235	272	288	314	189	361	343	248	247	299	293	317	316	271	234	301	298	227	366	184	237	172	340	243	228	315	439	293	239	227	267	417	204	386	275	243	497	269	364	291
YKR053C	216	179	201	158	254	206	182	225	263	189	129	233	225	210	174	159	330	191	231	145	203	211	184	142	157	238	251	187	187	256	177	169	297	258	187	250	170	255	223	167	221	212	229	169	369	276	186	238	213	255	223	231	239	432	270	157	307	273	362	270	252	266	373	241	301	373	324	342	300	280	211	443	269	264	298	296	237	270	295	237	232	401	462	296	232	289	293	323	179	418	328	235	518	306	332	258
